,jid,spg_number,spg_symbol,formula,formation_energy_peratom,func,optb88vdw_bandgap
16006,JVASP-28508,8,Cm,Te2Mo2WSe2S2,-0.54487,OptB88vdW,0.232
16007,JVASP-100865,12,C2/m,Mn2FeO6,-1.58063,OptB88vdW,0
16008,JVASP-96962,31,Pmn2_1,NaNpCO5,-2.35242,OptB88vdW,0.075
16009,JVASP-2661,82,I-4,Al2HgS4,-0.90854,OptB88vdW,2.075
16010,JVASP-99874,189,P-62m,CrFeAs,-0.03887,OptB88vdW,0
16011,JVASP-102867,225,Fm-3m,TbK2CuCl6,-1.83757,OptB88vdW,2.592
16012,JVASP-107809,225,Fm-3m,K2RbAlI6,-1.09398,OptB88vdW,1.926
16013,JVASP-15133,191,P6/mmm,NdB2Rh3,-0.655,OptB88vdW,0
16014,JVASP-48348,38,Amm2,V6O11F,-2.5982,OptB88vdW,0
16015,JVASP-99830,225,Fm-3m,PrNdIr2,-0.64431,OptB88vdW,0
16016,JVASP-101267,194,P6_3/mmc,Hg,0.21763,OptB88vdW,0.064
16017,JVASP-100480,148,R-3,MnCuO3,-1.37896,OptB88vdW,0
16018,JVASP-100603,191,P6/mmm,HoMg2,-0.05685,OptB88vdW,0
16019,JVASP-102154,189,P-62m,Sc6Te2Ir,-0.86711,OptB88vdW,0
16020,JVASP-102207,1,P1,In3CuSe5,-0.47697,OptB88vdW,0.203
16021,JVASP-100995,225,Fm-3m,LiSm2Ga,-0.3233,OptB88vdW,0
16022,JVASP-42888,194,P6_3/mmc,Tc3Rh,-0.16272,OptB88vdW,0
16023,JVASP-11950,164,P-3m1,Al3Ni2,-0.64801,OptB88vdW,0
16024,JVASP-100233,221,Pm-3m,Tb3Hg,-0.12278,OptB88vdW,0
16025,JVASP-103040,99,P4mm,ThUSb4,-0.53743,OptB88vdW,0
16026,JVASP-101041,225,Fm-3m,ZnInRh2,-0.40718,OptB88vdW,0
16027,JVASP-100022,129,P4/nmm,CeAs2Au,-0.80008,OptB88vdW,0
16028,JVASP-101454,6,Pm,NbRh2,-0.38027,OptB88vdW,0
16029,JVASP-92690,107,I4mm,LaGe3Os,-0.52993,OptB88vdW,0
16030,JVASP-100145,225,Fm-3m,AlFe2Ge,-0.20755,OptB88vdW,0
16031,JVASP-101153,10,P2/m,MnCuAg2O4,-0.97474,OptB88vdW,0
16032,JVASP-101100,123,P4/mmm,Ti3ZnHg4,0.13471,OptB88vdW,0
16033,JVASP-97027,129,P4/nmm,FeSe,-0.28323,OptB88vdW,0
16034,JVASP-42455,65,Cmmm,LiVF4,-3.04717,OptB88vdW,0
16035,JVASP-101593,225,Fm-3m,Nb3Cu,0.15133,OptB88vdW,0
16036,JVASP-15119,189,P-62m,TmAgSn,-0.54285,OptB88vdW,0
16037,JVASP-99966,123,P4/mmm,LiGaO2,-1.99287,OptB88vdW,1.059
16038,JVASP-3942,129,P4/nmm,ThIN,-1.92817,OptB88vdW,2.824
16039,JVASP-28384,129,P4/nmm,SmCoP,-0.9461,OptB88vdW,0
16040,JVASP-99325,62,Pnma,Rb2CoCl4,-1.48066,OptB88vdW,0.722
16041,JVASP-99675,225,Fm-3m,KTlBr3,-1.02695,OptB88vdW,0
16042,JVASP-18925,216,F-43m,Be5Pd,-0.29906,OptB88vdW,0
16043,JVASP-100420,119,I-4m2,Cd5TeS4,-0.59818,OptB88vdW,0.397
16044,JVASP-42153,167,R-3c,AgBO3,-1.2481,OptB88vdW,0
16045,JVASP-99783,225,Fm-3m,Hf2RePd,-0.58855,OptB88vdW,0
16046,JVASP-100780,166,R-3m,ZrTiN2,-1.87122,OptB88vdW,0
16047,JVASP-100735,225,Fm-3m,Mg2IrAu,-0.51053,OptB88vdW,0
16048,JVASP-92731,139,I4/mmm,Al3Ru2,-0.68511,OptB88vdW,0
16049,JVASP-12158,166,R-3m,Y2GeI2,-1.32016,OptB88vdW,0.222
16050,JVASP-99502,65,Cmmm,TaNb,0.00141,OptB88vdW,0
16051,JVASP-101691,65,Cmmm,Ta3Ru,-0.11789,OptB88vdW,0
16052,JVASP-100867,119,I-4m2,LiCuS,-0.82307,OptB88vdW,1.039
16053,JVASP-103382,127,P4/mbm,Lu2SnAu2,-0.67123,OptB88vdW,0
16054,JVASP-103290,139,I4/mmm,Pd3I,0.18906,OptB88vdW,0
16055,JVASP-100280,63,Cmcm,ErMn2SiC,-0.5312,OptB88vdW,0
16056,JVASP-101214,65,Cmmm,CeAlCu2Ni2,-0.40855,OptB88vdW,0
16057,JVASP-100824,166,R-3m,MgIn,-0.08749,OptB88vdW,0
16058,JVASP-99449,123,P4/mmm,KNaMg2F6,-3.46922,OptB88vdW,6.906
16059,JVASP-103210,225,Fm-3m,KRb2RuF6,-2.53798,OptB88vdW,0
16060,JVASP-100328,74,Imma,UMnAl,-0.15471,OptB88vdW,0
16061,JVASP-99739,148,R-3,AlCoO3,-2.18734,OptB88vdW,1.155
16062,JVASP-107810,225,Fm-3m,K2NaNdF6,-3.40997,OptB88vdW,6.139
16063,JVASP-101403,225,Fm-3m,Li2CdAg,-0.26977,OptB88vdW,0
16064,JVASP-100234,221,Pm-3m,Tb3Er,0.01224,OptB88vdW,0
16065,JVASP-99636,194,P6_3/mmc,Ca3Dy,0.12417,OptB88vdW,0
16066,JVASP-99875,63,Cmcm,CaInI3,-1.24131,OptB88vdW,2.929
16067,JVASP-53577,74,Imma,Co2RhS4,-0.51329,OptB88vdW,0
16068,JVASP-100996,139,I4/mmm,Tb3Li,0.16211,OptB88vdW,0
16069,JVASP-100183,221,Pm-3m,Ir3Rh,-0.01295,OptB88vdW,0
16070,JVASP-100648,164,P-3m1,MnPt2,0.00518,OptB88vdW,0
16071,JVASP-99546,225,Fm-3m,Ba2ZnMoO6,-2.57812,OptB88vdW,2.299
16072,JVASP-18794,194,P6_3/mmc,SrTl2,-0.37709,OptB88vdW,0
16073,JVASP-99831,225,Fm-3m,PaInNi2,-0.33075,OptB88vdW,0
16074,JVASP-15320,139,I4/mmm,BaAs2Ru2,-0.6751,OptB88vdW,0
16075,JVASP-15789,194,P6_3/mmc,BaAgAs,-0.84829,OptB88vdW,0
16076,JVASP-100072,71,Immm,TaOF3,-3.19443,OptB88vdW,2.831
16077,JVASP-106349,156,P3m1,MnZnSe2,-0.48472,OptB88vdW,0.327
16078,JVASP-4173,141,I4_1/amd,AuCl,-0.18569,OptB88vdW,1.73
16079,JVASP-101643,164,P-3m1,YbCd2As2,-0.64722,OptB88vdW,0.079
16080,JVASP-101536,139,I4/mmm,AlGe3,0.26431,OptB88vdW,0
16081,JVASP-99918,44,Imm2,TlBiPbS3,-0.50922,OptB88vdW,0.245
16082,JVASP-101456,187,P-6m2,Mn2SbTe,0.03681,OptB88vdW,0
16083,JVASP-51237,216,F-43m,SrCrPd2,0.10231,OptB88vdW,0
16084,JVASP-99676,225,Fm-3m,K3NdI6,-1.39812,OptB88vdW,3.215
16085,JVASP-100540,65,Cmmm,TbAlNi4,-0.56279,OptB88vdW,0
16086,JVASP-100481,63,Cmcm,LiMnF3,-2.60071,OptB88vdW,2.61
16087,JVASP-14946,221,Pm-3m,VTc,-0.35962,OptB88vdW,0
16088,JVASP-43832,1,P1,LiFeF3,-2.41169,OptB88vdW,0
16089,JVASP-96847,60,Pbcn,Nb2NiO6,-2.30931,OptB88vdW,0.985
16090,JVASP-99967,5,C2,LiUI6,-0.90806,OptB88vdW,0.634
16091,JVASP-99784,225,Fm-3m,Ho2MgOs,-0.2444,OptB88vdW,0
16092,JVASP-15457,164,P-3m1,YbMn2Sb2,-0.13698,OptB88vdW,0
16093,JVASP-20079,63,Cmcm,TaB,-0.7655,OptB88vdW,0
16094,JVASP-103113,119,I-4m2,CeCoCuSi2,-0.56713,OptB88vdW,0
16095,JVASP-2895,164,P-3m1,Ho2CF2,-2.62305,OptB88vdW,1.168
16096,JVASP-99327,2,P-1,SiCl2O,-1.82586,OptB88vdW,5.556
16097,JVASP-1939,139,I4/mmm,HgCl,-0.40002,OptB88vdW,2.253
16098,JVASP-100369,115,P-4m2,Na4SrCaSi2,-0.12903,OptB88vdW,0.188
16099,JVASP-100024,25,Pmm2,Cd4Te3Se,-0.44739,OptB88vdW,0.366
16100,JVASP-4077,166,R-3m,K4HgAs2,-0.46257,OptB88vdW,0.787
16101,JVASP-16060,139,I4/mmm,TmSi2Rh2,-1.0437,OptB88vdW,0
16102,JVASP-107813,225,Fm-3m,K2RbAsCl6,-1.44932,OptB88vdW,3.41
16103,JVASP-100736,38,Amm2,Mg5Ag,-0.06776,OptB88vdW,0
16104,JVASP-15102,225,Fm-3m,LiAg2Sn,-0.22139,OptB88vdW,0
16105,JVASP-102156,139,I4/mmm,RbAs2Ir2,-0.45053,OptB88vdW,0
16106,JVASP-101155,21,C222,MnV2Si6,-0.27564,OptB88vdW,0
16107,JVASP-100825,123,P4/mmm,LiTiO2,-2.84414,OptB88vdW,0
16108,JVASP-100868,194,P6_3/mmc,SmI3,-1.35631,OptB88vdW,1.614
16109,JVASP-101594,225,Fm-3m,NbGaOs2,-0.22354,OptB88vdW,0
16110,JVASP-100235,139,I4/mmm,Tb3Zr,0.08643,OptB88vdW,0
16111,JVASP-100329,166,R-3m,U2TeSe,-0.7168,OptB88vdW,0
16112,JVASP-15234,194,P6_3/mmc,NdPPd,-1.26675,OptB88vdW,0
16113,JVASP-14572,139,I4/mmm,UC2,-0.22706,OptB88vdW,0
16114,JVASP-15997,198,P2_13,ReSi,-0.17569,OptB88vdW,0
16115,JVASP-99450,123,P4/mmm,Fe2Si,-0.24287,OptB88vdW,0
16116,JVASP-100423,164,P-3m1,CaSm2S3,-2.23801,OptB88vdW,0
16117,JVASP-45135,186,P6_3mc,Mn3TeO8,-1.54762,OptB88vdW,0
16118,JVASP-99403,123,P4/mmm,NaBiSe2,-0.68283,OptB88vdW,0.022
16119,JVASP-100281,225,Fm-3m,LaMg2Ag,-0.11834,OptB88vdW,0
16120,JVASP-100938,166,R-3m,GaHgO2,-1.19228,OptB88vdW,0
16121,JVASP-103383,166,R-3m,ZrTiC2,-0.88399,OptB88vdW,0
16122,JVASP-103291,225,Fm-3m,Pm2GaCu,-0.39287,OptB88vdW,0
16123,JVASP-102870,225,Fm-3m,K2ScAuCl6,-1.66532,OptB88vdW,1.962
16124,JVASP-99590,225,Fm-3m,Na2LiAsF6,-2.5777,OptB88vdW,4.508
16125,JVASP-102099,139,I4/mmm,Li2Ti2Sb2O,-1.23556,OptB88vdW,0
16126,JVASP-14674,221,Pm-3m,SmPd3,-0.85736,OptB88vdW,0
16127,JVASP-93815,140,I4/mcm,IrC2,1.38847,OptB88vdW,0
16128,JVASP-15660,65,Cmmm,SrCu2O3,-1.51706,OptB88vdW,0
16129,JVASP-103042,156,P3m1,Te3Mo2Se,-0.32887,OptB88vdW,0.64
16130,JVASP-99740,221,Pm-3m,Te,0.03875,OptB88vdW,0
16131,JVASP-101692,107,I4mm,SrLaMnO4,-2.94427,OptB88vdW,0
16132,JVASP-101477,216,F-43m,LiCaSb,-0.89093,OptB88vdW,0.719
16133,JVASP-101404,225,Fm-3m,LaLuMg2,-0.07049,OptB88vdW,0
16134,JVASP-102954,225,Fm-3m,LiDy2Pt,-0.69576,OptB88vdW,0
16135,JVASP-103521,187,P-6m2,Al2CO,-1.3877,OptB88vdW,1.944
16136,JVASP-100604,139,I4/mmm,In3Ga,0.03054,OptB88vdW,0
16137,JVASP-100146,139,I4/mmm,Al3Sn,0.16187,OptB88vdW,0
16138,JVASP-99832,225,Fm-3m,Pm2MgGe,-0.38528,OptB88vdW,0
16139,JVASP-99785,225,Fm-3m,Ho2AgOs,-0.40311,OptB88vdW,0
16140,JVASP-100781,8,Cm,ZrMnCu2Se4,-0.53242,OptB88vdW,0
16141,JVASP-101215,74,Imma,CeCoRh,-0.56042,OptB88vdW,0
16142,JVASP-15360,139,I4/mmm,PrCo2B2,-0.50618,OptB88vdW,0
16143,JVASP-92732,87,I4/m,ErAu4,-0.64557,OptB88vdW,0
16144,JVASP-51108,216,F-43m,HgPRh,0.9071,OptB88vdW,0
16145,JVASP-100074,225,Fm-3m,Rb2RhAuF6,-1.97521,OptB88vdW,0.646
16146,JVASP-102280,225,Fm-3m,Ho2AgHg,-0.38984,OptB88vdW,0
16147,JVASP-101044,194,P6_3/mmc,Zr3Si,-0.357,OptB88vdW,0
16148,JVASP-57577,146,R3,TiFeBi2O6,-1.86438,OptB88vdW,0
16149,JVASP-99677,225,Fm-3m,K2TlGaI6,-0.80587,OptB88vdW,0.323
16150,JVASP-100482,215,P-43m,CdCoCu3Se4,-0.12736,OptB88vdW,0
16151,JVASP-22716,164,P-3m1,K2GeF6,-2.89396,OptB88vdW,5.966
16152,JVASP-103114,216,F-43m,CdSnAu,0.0258,OptB88vdW,0
16153,JVASP-97028,129,P4/nmm,FeTe,-0.02602,OptB88vdW,0
16154,JVASP-52373,15,C2/c,BaYBr5,-2.04762,OptB88vdW,3.412
16155,JVASP-2664,82,I-4,Al2ZnSe4,-0.89915,OptB88vdW,2.293
16156,JVASP-107815,225,Fm-3m,K2YAuBr6,-1.44956,OptB88vdW,1.673
16157,JVASP-99876,63,Cmcm,TbSiOs2C,-0.52101,OptB88vdW,0
16158,JVASP-99968,9,Cc,LiNbO2F,-2.61387,OptB88vdW,0
16159,JVASP-100236,225,Fm-3m,TbGaAu2,-0.69757,OptB88vdW,0
16160,JVASP-99503,187,P-6m2,Sr2ZnP2,-0.91498,OptB88vdW,0
16161,JVASP-100869,225,Fm-3m,Rb2TmAgCl6,-1.92365,OptB88vdW,3.524
16162,JVASP-16126,12,C2/m,Y2Al3Si2,-0.56244,OptB88vdW,0
16163,JVASP-100827,187,P-6m2,LaHg3,-0.01601,OptB88vdW,0
16164,JVASP-99404,166,R-3m,Mn2InCu4Sn,0.13739,OptB88vdW,0
16165,JVASP-2427,122,I-42d,GaAgS2,-0.54986,OptB88vdW,0.937
16166,JVASP-1942,225,Fm-3m,KI,-1.58223,OptB88vdW,4.092
16167,JVASP-100998,225,Fm-3m,MgZrPt2,-1.04641,OptB88vdW,0
16168,JVASP-102871,225,Fm-3m,K2PrAgCl6,-1.79932,OptB88vdW,3.25
16169,JVASP-15103,221,Pm-3m,TbBaO3,-2.93433,OptB88vdW,0
16170,JVASP-102208,74,Imma,HfAlZn,-0.3556,OptB88vdW,0
16171,JVASP-54761,4,P2_1,NaHO,-1.42533,OptB88vdW,3.8
16172,JVASP-101595,225,Fm-3m,NbSiRu2,-0.34514,OptB88vdW,0
16173,JVASP-101695,123,P4/mmm,SmPaO4,-3.96581,OptB88vdW,2.691
16174,JVASP-15404,139,I4/mmm,CeSi2Ni2,-0.75914,OptB88vdW,0
16175,JVASP-99591,225,Fm-3m,K2RbBiF6,-2.67776,OptB88vdW,4.334
16176,JVASP-100939,139,I4/mmm,VSnRh2,-0.29006,OptB88vdW,0
16177,JVASP-100184,2,P-1,HI3,0.04915,OptB88vdW,0.994
16178,JVASP-100737,194,P6_3/mmc,Mn3Os,-0.01574,OptB88vdW,0
16179,JVASP-100370,187,P-6m2,MoPdRu2,0.07193,OptB88vdW,0
16180,JVASP-103386,65,Cmmm,ZrNb,0.09741,OptB88vdW,0
16181,JVASP-99919,164,P-3m1,TiCrS2,-1.04314,OptB88vdW,0
16182,JVASP-103587,225,Fm-3m,Ba2InHg,-0.5108,OptB88vdW,0
16183,JVASP-99786,225,Fm-3m,Ho2AgAu,-0.6635,OptB88vdW,0
16184,JVASP-101158,82,I-4,MnIn2Te4,-0.23656,OptB88vdW,0.13
16185,JVASP-107816,225,Fm-3m,K2ErCuCl6,-1.86136,OptB88vdW,2.454
16186,JVASP-15790,139,I4/mmm,SrCo2Ge2,-0.47569,OptB88vdW,0
16187,JVASP-12195,12,C2/m,NiO2,-0.81827,OptB88vdW,0.82
16188,JVASP-96910,14,P2_1/c,Nb3CuO8,-2.4293,OptB88vdW,0.743
16189,JVASP-102157,71,Immm,Y3Si2Ni2,-0.73644,OptB88vdW,0
16190,JVASP-100542,107,I4mm,SrCeAlO4,-3.38006,OptB88vdW,0
16191,JVASP-100026,107,I4mm,CaLaGaO4,-2.97035,OptB88vdW,3.511
16192,JVASP-15321,194,P6_3/mmc,CaCuAs,-0.88164,OptB88vdW,0.127
16193,JVASP-103043,187,P-6m2,TbZr3,0.05351,OptB88vdW,0
16194,JVASP-102331,187,P-6m2,MoPt,-0.17962,OptB88vdW,0
16195,JVASP-99678,225,Fm-3m,K2RbInBr6,-1.34762,OptB88vdW,2.647
16196,JVASP-99547,139,I4/mmm,KAs2Ir2,-0.4444,OptB88vdW,0
16197,JVASP-103212,140,I4/mcm,KCuH3,-0.07409,OptB88vdW,0
16198,JVASP-14979,141,I4_1/amd,BaGe2,-0.57072,OptB88vdW,0
16199,JVASP-101537,194,P6_3/mmc,AcMg3,-0.06783,OptB88vdW,0
16200,JVASP-100605,225,Fm-3m,La2TlAg,-0.37671,OptB88vdW,0
16201,JVASP-100649,4,P2_1,MnCrSi2,-0.24555,OptB88vdW,0
16202,JVASP-101101,166,R-3m,Ti5CN4,-1.7256,OptB88vdW,0
16203,JVASP-103295,187,P-6m2,PmHf,0.2445,OptB88vdW,0
16204,JVASP-106368,10,P2/m,CrFeAs4,-0.15268,OptB88vdW,0
16205,JVASP-99741,225,Fm-3m,Rb2Pd,-0.00012,OptB88vdW,0.977
16206,JVASP-100424,44,Imm2,CaBiNO5,-1.35772,OptB88vdW,2.331
16207,JVASP-99452,115,P-4m2,CdHgSe2,-0.28857,OptB88vdW,0
16208,JVASP-11953,139,I4/mmm,NbNi3,-0.30191,OptB88vdW,0
16209,JVASP-100331,139,I4/mmm,TiBi2O4F2,-2.3385,OptB88vdW,1.381
16210,JVASP-99969,216,F-43m,Li2MgAu,-0.48428,OptB88vdW,0
16211,JVASP-100828,166,R-3m,KBiS2,-0.93108,OptB88vdW,1.642
16212,JVASP-99833,139,I4/mmm,Pm3Nd,0.00788,OptB88vdW,0
16213,JVASP-97029,139,I4/mmm,KFe2As2,-0.34248,OptB88vdW,0
16214,JVASP-101749,141,I4_1/amd,As2S,0.02341,OptB88vdW,0
16215,JVASP-102100,221,Pm-3m,BaPdO3,-1.50902,OptB88vdW,0
16216,JVASP-100237,225,Fm-3m,TbHoHg2,-0.38579,OptB88vdW,0
16217,JVASP-101046,63,Cmcm,TlSnI3,-0.61823,OptB88vdW,1.726
16218,JVASP-50953,162,P-31m,Ba2SrI6,-1.7689,OptB88vdW,3.572
16219,JVASP-100283,221,Pm-3m,NdIn,-0.51261,OptB88vdW,0
16220,JVASP-99877,63,Cmcm,CaTlI3,-1.30639,OptB88vdW,3.272
16221,JVASP-16206,225,Fm-3m,GeSb,0.14253,OptB88vdW,0
16222,JVASP-96964,1,P1,AlH3O3,-1.81194,OptB88vdW,4.675
16223,JVASP-103534,129,P4/nmm,HfPbN2,-0.87236,OptB88vdW,0.849
16224,JVASP-15280,139,I4/mmm,SmSi2Rh2,-1.04929,OptB88vdW,0
16225,JVASP-102955,225,Fm-3m,LiZnCu2,-0.13218,OptB88vdW,0
16226,JVASP-18499,191,P6/mmm,CaB2Rh3,-0.62915,OptB88vdW,0
16227,JVASP-52837,225,Fm-3m,SnH8N2Cl6,-0.69956,OptB88vdW,2.283
16228,JVASP-107837,225,Fm-3m,Na2LiSbCl6,-1.37141,OptB88vdW,2.965
16229,JVASP-15235,225,Fm-3m,MnAlCu2,-0.08644,OptB88vdW,0
16230,JVASP-101405,225,Fm-3m,LiTiPd2,-0.55021,OptB88vdW,0
16231,JVASP-16028,123,P4/mmm,TlCu4S3,-0.26039,OptB88vdW,0
16232,JVASP-2898,51,Pmma,RbTeAu,-0.70891,OptB88vdW,1.032
16233,JVASP-99405,155,R32,LaMn2CdO6,-2.23047,OptB88vdW,0
16234,JVASP-101458,99,P4mm,MnGaPd2,-0.27374,OptB88vdW,0
16235,JVASP-102281,225,Fm-3m,KMg3,0.1386,OptB88vdW,0
16236,JVASP-101596,221,Pm-3m,PmNd3,-0.00561,OptB88vdW,0
16237,JVASP-100185,225,Fm-3m,K3Mg,0.08149,OptB88vdW,0
16238,JVASP-42155,12,C2/m,Li2VO2F,-2.61428,OptB88vdW,0
16239,JVASP-100782,187,P-6m2,YbAlCu4,-0.29607,OptB88vdW,0
16240,JVASP-18418,223,Pm-3n,Cr3O,0.3032,OptB88vdW,0
16241,JVASP-100075,225,Fm-3m,Li3AsF6,-2.45669,OptB88vdW,4.278
16242,JVASP-99787,225,Fm-3m,Ho2ZnGa,-0.51024,OptB88vdW,0
16243,JVASP-50476,8,Cm,Ca2Ti6N2O11,-2.9718,OptB88vdW,1.985
16244,JVASP-107839,225,Fm-3m,Rb2AgAsCl6,-1.26467,OptB88vdW,1.277
16245,JVASP-99328,206,Ia-3,V2O3,-2.41793,OptB88vdW,0
16246,JVASP-42459,12,C2/m,Dy2V2O7,-3.14076,OptB88vdW,0.297
16247,JVASP-51109,216,F-43m,ScVFe,0.55622,OptB88vdW,0
16248,JVASP-1945,225,Fm-3m,RbI,-1.5921,OptB88vdW,3.969
16249,JVASP-99679,225,Fm-3m,K2RbDyCl6,-2.1064,OptB88vdW,4.528
16250,JVASP-100027,216,F-43m,CaEuH6Ru,-0.56961,OptB88vdW,0
16251,JVASP-101645,139,I4/mmm,YbZn2Ga2,-0.4404,OptB88vdW,0
16252,JVASP-100484,221,Pm-3m,CoPd3,0.05931,OptB88vdW,0
16253,JVASP-18556,6,Pm,Na3Li3N2,-0.1687,OptB88vdW,0.036
16254,JVASP-99504,38,Amm2,SmYNi2,-0.48635,OptB88vdW,0
16255,JVASP-102332,166,R-3m,LaSmS2,-2.27233,OptB88vdW,0
16256,JVASP-103393,166,R-3m,Zr2Al3Ni,-0.58005,OptB88vdW,0
16257,JVASP-99592,225,Fm-3m,K2HgAsBr6,-0.89745,OptB88vdW,0
16258,JVASP-50374,34,Pnn2,Li2TiTeO6,-2.16201,OptB88vdW,2.34
16259,JVASP-18425,166,R-3m,LiTiO2,-2.83883,OptB88vdW,0
16260,JVASP-20080,62,Pnma,NiGe,-0.28598,OptB88vdW,0
16261,JVASP-101696,107,I4mm,SnTe2Pd6,-0.38071,OptB88vdW,0
16262,JVASP-15568,139,I4/mmm,TbFe2Si2,-0.66743,OptB88vdW,0
16263,JVASP-103588,194,P6_3/mmc,Yb3Ba,0.02374,OptB88vdW,0
16264,JVASP-99548,189,P-62m,Sc6MnTe2,-0.62404,OptB88vdW,0
16265,JVASP-103298,225,Fm-3m,PmPrHg2,-0.38116,OptB88vdW,0
16266,JVASP-101216,160,R3m,CdInAsSe,-0.4004,OptB88vdW,0
16267,JVASP-44587,186,P6_3mc,Cr3SbO8,-1.82748,OptB88vdW,0
16268,JVASP-2667,82,I-4,Al2ZnTe4,-0.50712,OptB88vdW,1.699
16269,JVASP-28966,156,P3m1,MoW3Se6S2,-0.63388,OptB88vdW,0.548
16270,JVASP-103115,6,Pm,CdAg2SnSe4,-0.25459,OptB88vdW,0
16271,JVASP-99920,21,C222,Ti2Si6Mo,-0.41074,OptB88vdW,0
16272,JVASP-102158,225,Fm-3m,La2MgNbO6,-3.169,OptB88vdW,0
16273,JVASP-102210,166,R-3m,Dy2Fe3Ni,-0.19797,OptB88vdW,0
16274,JVASP-20102,140,I4/mcm,Zr2Fe,-0.20232,OptB88vdW,0
16275,JVASP-48298,74,Imma,LiCoNiO4,-1.32854,OptB88vdW,0.034
16276,JVASP-99743,215,P-43m,MgAlCu3Se4,-0.46632,OptB88vdW,0.043
16277,JVASP-99970,187,P-6m2,LaMnNi4,-0.23359,OptB88vdW,0
16278,JVASP-101102,38,Amm2,TePb3Cl2O4,-1.33569,OptB88vdW,2.126
16279,JVASP-101539,12,C2/m,AsNO2F6,-1.5131,OptB88vdW,3.241
16280,JVASP-103044,187,P-6m2,TbBeCu4,-0.17035,OptB88vdW,0
16281,JVASP-100940,12,C2/m,V2CoO6,-2.10583,OptB88vdW,0
16282,JVASP-100284,221,Pm-3m,Lu3InC,-0.6275,OptB88vdW,0
16283,JVASP-99878,139,I4/mmm,Sm2Bi,-0.66818,OptB88vdW,0
16284,JVASP-100238,194,P6_3/mmc,TbMg3,-0.06905,OptB88vdW,0
16285,JVASP-100870,225,Fm-3m,CaMg3,-0.09936,OptB88vdW,0
16286,JVASP-99453,146,R3,BaSrBiSbO6,-2.22683,OptB88vdW,2.076
16287,JVASP-100669,63,Cmcm,Ca2Mg,-0.0706,OptB88vdW,0
16288,JVASP-100738,12,C2/m,MgSb2,-0.06854,OptB88vdW,0
16289,JVASP-100147,194,P6_3/mmc,Ag3Au,-0.0428,OptB88vdW,0
16290,JVASP-101750,160,R3m,AgPd2Au,-0.05287,OptB88vdW,0
16291,JVASP-15017,221,Pm-3m,HoGa3,-0.51357,OptB88vdW,0
16292,JVASP-100425,47,Pmmm,Ce2In3Sn3,-0.49993,OptB88vdW,0
16293,JVASP-101406,225,Fm-3m,LiLuRh2,-0.64698,OptB88vdW,0
16294,JVASP-102962,194,P6_3/mmc,Na3Mg,0.05297,OptB88vdW,0
16295,JVASP-100783,99,P4mm,Zr2Cu3Sb3,-0.21252,OptB88vdW,0
16296,JVASP-15791,139,I4/mmm,SrZn2Ge2,-0.40536,OptB88vdW,0
16297,JVASP-15322,139,I4/mmm,ScCo2Si2,-0.7514,OptB88vdW,0
16298,JVASP-102873,225,Fm-3m,K2AlInBr6,-1.28494,OptB88vdW,1.911
16299,JVASP-101159,71,Immm,MgTa2N3,-1.2569,OptB88vdW,0
16300,JVASP-107850,225,Fm-3m,Rb2ScAgF6,-3.12145,OptB88vdW,3.17
16301,JVASP-100371,8,Cm,Mo2AsP3,-0.43057,OptB88vdW,0
16302,JVASP-100076,225,Fm-3m,K3GaCl6,-1.65126,OptB88vdW,3.457
16303,JVASP-101478,225,Fm-3m,TbBiPd2,-0.75706,OptB88vdW,0
16304,JVASP-4080,2,P-1,PdSe2Br6,-0.19774,OptB88vdW,1.19
16305,JVASP-100829,12,C2/m,K5Sb4,-0.5289,OptB88vdW,0
16306,JVASP-102101,63,Cmcm,NaGa,-0.05966,OptB88vdW,0
16307,JVASP-101598,225,Fm-3m,Pm2AgHg,-0.36207,OptB88vdW,0
16308,JVASP-101459,71,Immm,Mg6SiSn2,-0.23131,OptB88vdW,0.059
16309,JVASP-101047,225,Fm-3m,TbBa2MoO6,-3.07144,OptB88vdW,0
16310,JVASP-2430,82,I-4,ZnGa2S4,-0.80653,OptB88vdW,2.295
16311,JVASP-18627,139,I4/mmm,BaZnBi2,-0.53842,OptB88vdW,0
16312,JVASP-99788,194,P6_3/mmc,Hf3Sc,-0.01342,OptB88vdW,0
16313,JVASP-97030,139,I4/mmm,KFe2Se2,-0.50915,OptB88vdW,0
16314,JVASP-16207,129,P4/nmm,USbSe,-0.8289,OptB88vdW,0
16315,JVASP-107851,225,Fm-3m,Rb2ErAuCl6,-1.77351,OptB88vdW,1.939
16316,JVASP-99680,225,Fm-3m,K2NaTaI6,-0.89589,OptB88vdW,0
16317,JVASP-100545,123,P4/mmm,SnTePbSe,-0.40503,OptB88vdW,0.126
16318,JVASP-15281,194,P6_3/mmc,Zr2AlC,-0.72286,OptB88vdW,0
16319,JVASP-103400,166,R-3m,VAu,0.19688,OptB88vdW,0
16320,JVASP-103216,72,Ibam,SiSe2,-0.37086,OptB88vdW,1.718
16321,JVASP-103589,225,Fm-3m,Ca2HgBi,-0.70558,OptB88vdW,0
16322,JVASP-53578,122,I-42d,Tb2PbS4,-1.74152,OptB88vdW,2.235
16323,JVASP-102333,5,C2,KFeSeS,-0.7902,OptB88vdW,0
16324,JVASP-100606,225,Fm-3m,LiSc2Ga,-0.35172,OptB88vdW,0
